,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
2970.0,0.569,0.1472,0.5115,0.929,0.062,2970.0,2940,3000,0.5115
2980.0,0.569,0.1472,0.5107,0.929,0.062,2980.0,2950,3010,0.5107
2990.0,0.569,0.1472,0.4993,0.929,0.062,2990.0,2960,3020,0.4993
3000.0,0.569,0.1472,0.4512,0.929,0.062,3000.0,2970,3030,0.4512
3010.0,0.569,0.1472,0.4593,0.929,0.062,3010.0,2980,3040,0.4593
3020.0,0.569,0.1472,0.4226,0.929,0.062,3020.0,2990,3050,0.4226
3030.0,0.569,0.1472,0.4085,0.929,0.062,3030.0,3000,3060,0.4085
3040.0,0.569,0.1472,0.3815,0.929,0.062,3040.0,3010,3070,0.3815
3050.0,0.569,0.1472,0.3727,0.929,0.062,3050.0,3020,3080,0.3727
3060.0,0.569,0.1472,0.377,0.929,0.062,3060.0,3030,3090,0.377
3070.0,0.569,0.1472,0.382,0.929,0.062,3070.0,3040,3100,0.382
3080.0,0.569,0.1472,0.4141,0.929,0.062,3080.0,3050,3110,0.4141
3090.0,0.569,0.1472,0.4272,0.929,0.062,3090.0,3060,3120,0.4272
3100.0,0.569,0.1472,0.4397,0.929,0.062,3100.0,3070,3130,0.4397
3110.0,0.569,0.1472,0.4373,0.929,0.062,3110.0,3080,3140,0.4373
3120.0,0.569,0.1472,0.4417,0.929,0.062,3120.0,3090,3150,0.4417
3130.0,0.569,0.1472,0.4355,0.929,0.062,3130.0,3100,3160,0.4355
3140.0,0.569,0.1472,0.4536,0.929,0.062,3140.0,3110,3170,0.4536
3150.0,0.569,0.1472,0.4387,0.929,0.062,3150.0,3120,3180,0.4387
3160.0,0.569,0.1472,0.4887,0.929,0.062,3160.0,3130,3190,0.4887
3170.0,0.569,0.1472,0.5217,0.929,0.062,3170.0,3140,3200,0.5217
3180.0,0.569,0.1472,0.5448,0.929,0.062,3180.0,3150,3210,0.5448
3190.0,0.569,0.1472,0.5221,0.929,0.062,3190.0,3160,3220,0.5221
3200.0,0.569,0.1472,0.5801,0.929,0.062,3200.0,3170,3230,0.5801
3210.0,0.569,0.1472,0.606,0.929,0.062,3210.0,3180,3240,0.606
3220.0,0.569,0.1472,0.5585,0.929,0.062,3220.0,3190,3250,0.5585
3230.0,0.569,0.1472,0.5253,0.929,0.062,3230.0,3200,3260,0.5253
3240.0,0.569,0.1472,0.5132,0.929,0.062,3240.0,3210,3270,0.5132
3250.0,0.569,0.1472,0.5369,0.929,0.062,3250.0,3220,3280,0.5369
3260.0,0.569,0.1472,0.4953,0.929,0.062,3260.0,3230,3290,0.4953
3270.0,0.569,0.1472,0.4978,0.929,0.062,3270.0,3240,3300,0.4978
3280.0,0.569,0.1472,0.5,0.929,0.062,3280.0,3250,3310,0.5
3290.0,0.569,0.1472,0.5107,0.929,0.062,3290.0,3260,3320,0.5107
3300.0,0.569,0.1472,0.5196,0.929,0.062,3300.0,3270,3330,0.5196
3310.0,0.569,0.1472,0.534,0.929,0.062,3310.0,3280,3340,0.534
3320.0,0.569,0.1472,0.4951,0.929,0.062,3320.0,3290,3350,0.4951
3330.0,0.569,0.1472,0.5088,0.929,0.062,3330.0,3300,3360,0.5088
3340.0,0.569,0.1472,0.5434,0.929,0.062,3340.0,3310,3370,0.5434
3350.0,0.569,0.1472,0.5732,0.929,0.062,3350.0,3320,3380,0.5732
3360.0,0.569,0.1472,0.5743,0.929,0.062,3360.0,3330,3390,0.5743
3370.0,0.569,0.1472,0.5438,0.929,0.062,3370.0,3340,3400,0.5438
3380.0,0.569,0.1472,0.6034,0.929,0.062,3380.0,3350,3410,0.6034
3390.0,0.569,0.1472,0.615,0.929,0.062,3390.0,3360,3420,0.615
3400.0,0.569,0.1472,0.5825,0.929,0.062,3400.0,3370,3430,0.5825
3410.0,0.569,0.1472,0.5535,0.929,0.062,3410.0,3380,3440,0.5535
3420.0,0.569,0.1472,0.5467,0.929,0.062,3420.0,3390,3450,0.5467
3430.0,0.569,0.1472,0.5531,0.929,0.062,3430.0,3400,3460,0.5531
3440.0,0.569,0.1472,0.5344,0.929,0.062,3440.0,3410,3470,0.5344
3450.0,0.569,0.1472,0.5045,0.929,0.062,3450.0,3420,3480,0.5045
3460.0,0.569,0.1472,0.4927,0.929,0.062,3460.0,3430,3490,0.4927
3470.0,0.569,0.1472,0.4909,0.929,0.062,3470.0,3440,3500,0.4909
3480.0,0.569,0.1472,0.488,0.929,0.062,3480.0,3450,3510,0.488
3490.0,0.569,0.1472,0.5048,0.929,0.062,3490.0,3460,3520,0.5048
3500.0,0.569,0.1472,0.4823,0.929,0.062,3500.0,3470,3530,0.4823
3510.0,0.569,0.1472,0.4961,0.929,0.062,3510.0,3480,3540,0.4961
3520.0,0.569,0.1472,0.5189,0.929,0.062,3520.0,3490,3550,0.5189
3530.0,0.569,0.1472,0.5368,0.929,0.062,3530.0,3500,3560,0.5368
3540.0,0.569,0.1472,0.5729,0.929,0.062,3540.0,3510,3570,0.5729
3550.0,0.569,0.1472,0.5929,0.929,0.062,3550.0,3520,3580,0.5929
3560.0,0.569,0.1472,0.6254,0.929,0.062,3560.0,3530,3590,0.6254
3570.0,0.569,0.1472,0.6097,0.929,0.062,3570.0,3540,3600,0.6097
